symbol,side,quantity,ref_price
000028,buy,900,20.12
603301,buy,200,81.35
300363,buy,1000,19.1
601969,buy,2000,9.74
601568,buy,5100,3.85
300456,buy,500,39.68
000902,buy,1300,14.5
601326,buy,5400,3.64
688182,buy,700,28.2
600740,buy,4900,4.06
605599,buy,1300,14.97
601369,buy,2200,8.83
603809,buy,2200,8.99
002010,buy,4200,4.74
688232,buy,1000,18.65
603103,buy,1200,15.98
002737,buy,1600,11.89
600006,buy,3600,5.42
601068,buy,4300,4.65
002506,buy,7300,2.71
688717,buy,400,47.02
002287,buy,900,20.34
000061,buy,3000,6.66
605099,buy,600,31.21
002364,buy,500,36.78
600710,buy,1800,10.58
600782,buy,7000,2.84
002901,buy,400,41.43
600167,buy,3500,5.65
600618,buy,1800,10.73
300684,buy,200,95.2
002911,buy,1700,11.46
600662,buy,4600,4.33
300257,buy,1100,18.1
601311,buy,2500,7.94
002061,buy,5600,3.52
601921,buy,2600,7.54
688001,buy,300,51.6
600864,buy,3300,5.89
601519,buy,2200,9.0
603166,buy,1700,11.31
600746,buy,2600,7.43
002036,buy,2700,7.29
688409,buy,100,192.0
301339,buy,1700,11.36
688403,buy,700,25.34
300779,buy,300,61.43
301511,buy,200,92.64
000156,buy,2800,7.11
603619,buy,800,24.04
