symbol,weight
601020,0.02
603124,0.02
600475,0.02
301662,0.02
688717,0.02
605116,0.02
603301,0.02
603690,0.02
002075,0.02
603355,0.02
605196,0.02
600662,0.02
603219,0.02
601068,0.02
600618,0.02
600325,0.02
600623,0.02
301626,0.02
688691,0.02
002911,0.02
601022,0.02
600750,0.02
600612,0.02
301563,0.02
688001,0.02
002681,0.02
688586,0.02
600116,0.02
600006,0.02
603556,0.02
600409,0.02
301177,0.02
601975,0.02
002946,0.02
600783,0.02
688003,0.02
605507,0.02
600420,0.02
605011,0.02
002456,0.02
603929,0.02
600782,0.02
600305,0.02
301005,0.02
603599,0.02
601568,0.02
600916,0.02
002060,0.02
002929,0.02
600216,0.02
